Date,Open,High,Low,Close,Volume,Amount,TurnoverRate
2016-10-28,1.3,5.5,1.3,2.14,10000.0,2140.0,
2016-11-04,8.0,8.0,8.0,8.0,9900.0,7920.0,
2016-11-08,5.5,5.5,5.5,5.5,100.0,55.0,
2016-11-09,1.3,6.0,1.3,6.0,1900.0,294.0,
2016-11-22,2.0,6.0,2.0,6.0,9500.0,2500.0,
2016-11-23,7.0,10.0,7.0,10.0,500.0,380.0,
2017-01-24,5.0,5.0,5.0,5.0,4000.0,2000.0,
2017-07-25,2.43,2.43,2.43,2.43,10.0,2.43,
2017-07-26,1.22,4.86,1.22,4.86,1890.0,245.14,
2019-12-02,3.5,3.5,3.5,3.5,10.0,3.5,
2020-04-15,4.5,7.0,4.5,7.0,50.0,30.0,
2020-04-17,7.0,7.0,6.5,6.5,10.0,6.75,
2020-04-20,5.0,7.0,5.0,7.0,13.0,8.7,
2020-04-21,7.0,7.0,7.0,7.0,1.0,0.7,
2020-04-22,4.0,6.5,4.0,6.5,65.0,29.25,
2020-04-24,4.5,6.5,4.5,6.5,58.0,27.7,
2020-04-27,5.5,5.5,5.5,5.5,20.0,11.0,
2020-05-06,6.35,6.35,6.35,6.35,5.0,3.175,
2020-05-11,6.35,6.35,6.35,6.35,13.0,8.255,
2020-05-13,7.5,7.5,7.5,7.5,1.0,0.75,
2020-05-19,15.0,15.0,15.0,15.0,35.0,52.5,
2020-05-20,7.5,7.51,7.5,7.51,4.0,3.001,
2020-05-21,7.53,7.53,7.53,7.53,1.0,0.753,
2020-05-22,8.7,8.7,8.7,8.7,5.0,4.35,
2020-06-16,8.7,8.7,8.7,8.7,3.0,2.61,
2020-06-22,10.0,10.0,10.0,10.0,8.0,8.0,
2020-07-02,10.0,10.0,10.0,10.0,10.0,10.0,
2020-07-06,7.0,7.0,7.0,7.0,2.0,1.4,
2020-07-09,3.5,3.5,3.5,3.5,1.0,0.35,
2020-08-17,7.0,7.0,7.0,7.0,10.0,7.0,
2020-08-25,9.0,9.0,9.0,9.0,3.0,2.7,
2020-08-28,10.0,10.0,10.0,10.0,15.0,15.0,
2020-08-31,10.5,10.5,10.5,10.5,12.0,12.6,
2020-09-02,10.8,10.8,10.8,10.8,20.0,21.6,
2020-09-03,10.8,10.8,10.8,10.8,8.0,8.64,
2020-09-08,10.0,10.0,10.0,10.0,2.0,2.0,
2020-10-26,5.6,5.6,5.6,5.6,1.0,0.56,
2021-06-23,5.0,5.0,5.0,5.0,2.0,1.0,
2021-07-16,6.0,6.0,6.0,6.0,1.0,0.6,
2021-07-30,10.0,10.0,10.0,10.0,3.99,3.99,
2021-08-25,10.0,10.0,10.0,10.0,3.0,3.0,
2021-09-01,6.0,6.06,6.0,6.06,3300.0,1980.72,
2021-09-06,8.0,9.0,8.0,9.0,277.48,237.674,
2021-09-07,10.0,10.0,10.0,10.0,30.99,30.99,
2021-09-10,12.0,12.0,12.0,12.0,10.0,12.0,
2021-09-14,14.0,14.0,14.0,14.0,18.0,25.2,
2021-09-22,14.0,14.0,13.0,13.0,197.94,260.122,
2021-09-23,11.06,11.06,11.06,11.06,1.0,1.106,
2021-09-27,22.0,22.0,12.12,14.0,8.0,10.97,
2021-09-28,13.0,13.0,13.0,13.0,82.02,106.626,
2021-09-29,13.0,13.0,13.0,13.0,12.8,16.64,
2021-09-30,13.0,13.0,13.0,13.0,30.0,39.0,
2021-10-08,13.0,13.0,13.0,13.0,96.0,124.8,
2021-10-11,13.0,13.0,13.0,13.0,4.0,5.2,
2021-10-12,13.0,13.0,13.0,13.0,2.0,2.6,
2021-10-15,12.88,12.88,12.88,12.88,1.0,1.288,
2021-10-18,13.0,13.0,13.0,13.0,5.0,6.5,
